City,Count
"Alor Gajah",18
"Alor Setar",33
"Arau",8
"Bachok / Pantai Irama",7
"Bahagian Mukah",6
"Bahagian Pedalaman",22
"Bahagian Sibu",44
"Bahau, Jempol",1
"Baling",3
"Bandar Sunway",72
"Bangi",40
"Banting",9
"Batang Padang",7
"Batu Manikar Town, Labuan",1
"Batu Pahat",34
"Bentong",30
"Bera",2
"Besut",31
"Bintulu",38
"Cameron Highlands",117
"Changlun",13
"Cyberjaya",34
"Dungun",28
"Genting Highlands",53
"Gerik, Hulu Perak",2
"Gombak",13
"Gopeng, Kampar",3
"Gua Musang",4
"Gurun",2
"Hilir Perak",18
"Hulu Perak",1
"Hulu Selangor",4
"Hulu Terengganu",4
"Jasin",5
"Jeli",3
"Jempol",8
"Jenjarom",4
"Jerantut",19
"Jitra",9
"Johor Bahru",391
"Kajang",20
"Kampar",16
"Kampung Tampin",3
"Kangar",16
"Kapit, Bahagian Kapit, Bahagian Sibu",1
"Kemaman",39
"Kerian",2
"Ketereh",6
"Kinabalu National Park",51
"Kinta",150
"Klang",52
"Kluang",27
"Kota Bharu",127
"Kota Kinabalu",274
"Kota Tinggi",32
"Kuala Kangsar",7
"Kuala Krai",2
"Kuala Lipis",2
"Kuala Lumpur",979
"Kuala Muda",38
"Kuala Nerus, Kuala Terengganu",35
"Kuala Perlis",5
"Kuala Pilah Town, Kuala Pilah",1
"Kuala Selangor",15
"Kuala Sepetang",1
"Kuala Terengganu",73
"Kuantan",158
"Kuching",194
"Kudat",2
"Kudat Town, Kudat",5
"Kulaijaya",9
"Kulim",14
"Labuan",2
"Labuan Main Town, Labuan",10
"Lahad Datu",13
"Langkawi",210
"Larut, Matang & Selama",34
"Lawas",2
"Ledang",7
"Limbang",2
"Mabul Island",1
"Machang",1
"Manjung",88
"Maran",2
"Marang",12
"Melaka City",367
"Mersing",18
"Miri",60
"Muallim",6
"Muar",37
"Padang Besar",3
"Padang Terap",4
"Papar",3
"Parit Buntar, Kerian",1
"Pasir Mas",7
"Pasir Puteh",14
"Pekan",5
"Pendang",1
"Perak Tengah",10
"Petaling Jaya",95
"Pontian",11
"Port Dickson",78
"Puchong",27
"Pulau Carey, Klang",1
"Pulau Indah, Klang",1
"Pulau Ketam, Klang",2
"Pulau Pinang",393
"Putrajaya",18
"Rasah, Seremban",1
"Raub",8
"Rawang",12
"Rembau",3
"Rompin",21
"Sabak Bernam",13
"Samarahan, Kuching",5
"Sandakan",42
"Seberang Perai",70
"Segamat",16
"Semenyih",3
"Sepang",54
"Seremban",66
"Seri Kembangan",38
"Setiu",10
"Shah Alam",83
"Sintok, Changlun",2
"Subang Jaya",5
"Sungai Buloh, Petaling Jaya",7
"Tanah Merah",5
"Tapah, Batang Padang",2
"Tasik Chini",1
"Tawau",69
"Temerloh",18
"Tumpat",4
"Wakaf Bharu",3
