City,Count
"Aborlan, Puerto Princesa",1
"Agoo",1
"Alaminos City",26
"Alcantara",1
"Alcantara, Tablas Island",1
"Alfonso",6
"Alicia",1
"Alitagtag",4
"Anda",13
"Angat",1
"Angeles",101
"Angono",1
"Antipolo",23
"Argao",5
"Asingan",1
"Asturias",1
"Atimonan",3
"Bacacay (Misimis Bay)",2
"Baclayon",8
"Bacnotan",1
"Bacolod City",56
"Bacong",2
"Bacoor City",6
"Badian",4
"Bagabag",1
"Bagac",7
"Baguio City",171
"Balamban",1
"Balayan",1
"Baler",63
"Balete",2
"Balilihan",1
"Balingasag",1
"Baliuag",2
"Bambang",1
"Banaue",17
"Bangui",1
"Bansud",1
"Bantay, Vigan",7
"Bantayan Island",1
"Bantayan, Bantayan Island",1
"Baras",6
"Barotac Nuevo",1
"Basco",32
"Batangas City",11
"Batuan",1
"Bauan",2
"Bauang",10
"Baybay City",2
"Bayugan City",1
"Binalonan",2
"Binangonan",1
"Biñan",5
"Bobon",1
"Bogo City",2
"Bolinao",9
"Boljoon",1
"Bongabon",1
"Boracay Island",379
"Borongan City",3
"Braulio E. Dujali",1
"Brooke's Point",1
"Bugallon",1
"Bulacan City",1
"Buruanga",1
"Bustos",1
"Busuanga, Coron",9
"Butuan City",17
"Caba",2
"Cabanatuan City",12
"Cabangan",2
"Cabatuan",2
"Cabugao",1
"Cabuyao City",2
"Cadiz City",1
"Cagayan de Oro City",61
"Cainta",4
"Calaca",1
"Calamba",18
"Calape",2
"Calasiao",2
"Calatagan",9
"Calatrava, Tablas Island",1
"Calbayog City",13
"Caloocan",10
"Calubian",2
"Calumpit",2
"Camalaniugan",1
"Candelaria",3
"Candon City",1
"Caoayan",1
"Capas",1
"Carabao Island",1
"Caramoan",15
"Carcar City",1
"Carles",5
"Carmen",2
"Carmona",1
"Castillejos",3
"Catanauan",1
"Catarman",14
"Catbalogan City",14
"Catmon",1
"Cauayan City",6
"Cebu City",254
"City of Balanga",11
"City of Naga",1
"Cordova, Mactan Island",7
"Coron",111
"Cotabato City",1
"Cuenca",1
"Culasi",1
"Culion",1
"Currimao",4
"Daanbantayan",16
"Daet",2
"Dagupan",9
"Dalaguete",2
"Dao",1
"Dapa, Siargao Islands",2
"Dapitan City",2
"Daraga",9
"Dasmarinas City",3
"Dauin",13
"Dauis, Panglao Island",23
"Davao City",162
"Del Carmen, Siargao Islands",1
"Dimiao",1
"Dinalungan",1
"Dipaculao",2
"Dipolog City",2
"Donsol",8
"Duero",1
"Dumaguete City",47
"Dumaran",1
"Dumarao",1
"Dupax Del Sur",1
"El Nido",160
"Estancia",1
"Garcia Hernandez",1
"General Luna, Siargao Islands",47
"General Santos",51
"General Tinio",1
"General Trias",4
"Gerona",1
"Gonzaga",2
"Guiguinto",2
"Guindulman",1
"Hermosa",2
"Hilongos",1
"Hinoba-an",3
"Hinunangan",1
"Iba",6
"Ilagan City",2
"Iligan",9
"Iloilo City",66
"Imus City",1
"Indang",3
"Infanta",1
"Ipil",1
"Irosin",1
"Ivana",1
"Jagna",1
"Janiuay",1
"Javier",1
"Jimalalud",1
"Jordan",7
"Kalawit",1
"Kalibo",35
"La Trinidad",2
"Labrador",3
"Lagonglong",1
"Lagonoy",1
"Laguindingan",2
"Lanuza",1
"Laoag City",21
"Lapu-Lapu City, Mactan Island",101
"Larena",2
"Las Piñas",22
"Laurel",5
"Lavezares",1
"Legazpi City",44
"Lemery",8
"Lian",8
"Ligao",1
"Liloan",3
"Limay",1
"Lingayen",3
"Lipa",10
"Lobo",1
"Loboc",6
"Looc, Tablas Island",2
"Loon",2
"Los Baños",13
"Lucban",2
"Lucena",6
"Lumban",2
"Luna",1
"Maasin City",2
"Mabalacat",7
"Mabini",22
"Madridejos, Bantayan Island",1
"Magalang",2
"Mahinog",1
"Majayjay",2
"Makati",247
"Malabon",2
"Malay",4
"Malaybalay City",15
"Malitbog",1
"Malolos",2
"Malungon",1
"Mambajao",26
"Mandaluyong",48
"Mandaue City",35
"Mangaldan",3
"Manila",244
"Manolo Fortich",3
"Mansalay",1
"Mapandan",1
"Marabut",1
"Maragondon",1
"Maramag",3
"Marihatag",1
"Marikina",3
"Mariveles",8
"Masbate City",16
"Mataas Na Kahoy",2
"Mati",7
"Mauban",3
"Mendez",4
"Mexico",1
"Meycauayan City",3
"Moalboal",32
"Mobo, Masbate City",1
"Molave",1
"Morong",19
"Municipality of Ibaan",2
"Municipality of San Antonio",1
"Muntinlupa City",20
"Nabas",2
"Nabunturan",2
"Naga",23
"Naic",2
"Nasugbu",17
"Nueva Valencia",3
"Oas",1
"Olongapo, Subic",18
"Orani",3
"Orion",2
"Ormoc City",7
"Oroquieta City",1
"Oslob",39
"Oton",3
"Ozamiz City",2
"Paete",1
"Pagadian City",1
"Pagbilao",1
"Pagsanjan",5
"Pagudpud",26
"Palayan City",1
"Palo",1
"Panabo",1
"Pandan",1
"Pandi",1
"Panglao, Panglao Island",129
"Paniqui",1
"Pantabangan",1
"Paoay",2
"Parañaque",96
"Pasay",124
"Pasig",43
"Pasuquin",3
"Pavia",2
"Pilar",1
"Pilar, Siargao Islands",2
"Pili",1
"Plaridel",4
"Polomolok",1
"Poro, Poro Island",1
"Pototan",1
"Puerto Galera",60
"Puerto Princesa",250
"Quezon City",204
"Ramon",1
"Real",2
"Romblon City",3
"Rosales",2
"Rosario",4
"Roxas",4
"Roxas City",30
"Sabtang",3
"Sagada",32
"Samal Island",26
"San Antonio",6
"San Fabian",3
"San Felipe",5
"San Fernando",8
"San Fernando City",10
"San Francisco, Pacijan Island",6
"San Isidro, Siargao Islands",2
"San Jacinto, Ticao Island",3
"San Jose",2
"San Jose City",2
"San Jose del Monte City",2
"San Jose, Carabao Island",2
"San Juan",51
"San Lorenzo",1
"San Luis",1
"San Marcelino",1
"San Mateo",1
"San Narciso",10
"San Nicolas, Laoag City",3
"San Pablo City",8
"San Pedro",2
"San Rafael",1
"San Remigio",5
"San Simon",1
"San Vicente",39
"Santa Ana",6
"Santa Barbara",2
"Santa Catalina",3
"Santa Cruz",3
"Santa Fe, Bantayan Island",26
"Santa Fe, Tablas Island",1
"Santa Lucia",1
"Santa Maria",7
"Santa Rita",1
"Santa Rosa",8
"Santander",5
"Santiago",3
"Santiago City",9
"Santo Domingo",1
"Santo Tomas",3
"Sarrat, Laoag City",1
"Science City of Munoz",1
"Sibulan",1
"Sibunag",2
"Silang",8
"Sipalay City",23
"Siquijor",7
"Socorro, Siargao Islands",3
"Sogod",2
"Solana",1
"Solano",3
"Sorsogon City",10
"Subic Bay Freeport Zone, Subic",30
"Subic Bay, Subic",17
"Surigao City",28
"Taal",5
"Tabaco City",2
"Tabogon",1
"Tabuelan",1
"Tabuk",1
"Tacloban City",35
"Tagaytay City",163
"Tagbilaran City",50
"Tagbina",1
"Taguig",61
"Tagum City",28
"Talisay",12
"Talisay City",10
"Tanauan City",4
"Tanay",2
"Tanza",2
"Tarlac City",6
"Tayabas City",3
"Taytay",1
"Taytay, El Nido",2
"Tiwi",1
"Toledo City",2
"Tongkil",1
"Tuba",1
"Tuguegarao City",22
"Urbiztondo",1
"Urdaneta City",5
"Valencia City",6
"Valenzuela",5
"Vigan City, Vigan",39
"Virac",6
"Zamboanga",2
"Zamboanguita",1
