City,Count
"Amphawa District",54
"Ao Luek District",6
"Arankhamwari, Khian Sa District",1
"Aranyaprathet District",20
"Ayutthaya District",91
"Ban Bueng District",3
"Ban Chang District",31
"Ban Hong District",3
"Ban Kao, Phan Thong District",1
"Ban Khai District",1
"Ban Khwang, Maha Rat District",1
"Ban Krang, Si Prachan District",1
"Ban Laem District",7
"Ban Lao, Mueang Chaiyaphum District",5
"Ban Mo, Phrom Buri District",1
"Ban Na District",8
"Ban Phai District",2
"Ban Pong, Ban Pong District",3
"Ban Rai District",1
"Ban Rai, Thep Sathit District",2
"Ban Ta Khun District",26
"Ban Thi District",2
"Bana, Mueang Pattani District",1
"Bang Bo District",11
"Bang Bua Thong District",3
"Bang Kapi",72
"Bang Khanak, Bang Nam Priao District",1
"Bang Khen",26
"Bang Khla District",3
"Bang Kho Laem",15
"Bang Khonthi District",12
"Bang Klam District",2
"Bang Kruai District",6
"Bang Len District",4
"Bang Na",100
"Bang Pa-in District",9
"Bang Pahan District",1
"Bang Pakong District",5
"Bang Phli District",4
"Bang Phutsa, Mueang Sing Buri District",1
"Bang Rak",162
"Bang Sao Thong District",9
"Bang Saphan District",35
"Bang Saphan Noi District",4
"Bang Yai District",8
"Bang Yang, Ban Sang District",1
"Bangkok Riverside",84
"Betong District",9
"Bo Kluea District",3
"Bo Phloi, Bo Rai District",1
"Bo Rae, Wat Sing District",1
"Boek Phrai, Ban Pong District",1
"Borabue, Borabue District",1
"Bu Fai, Prachantakham District",1
"Bu Phram, Na Di District",1
"Bua Sali, Mae Lao District",6
"Bua Yai District",1
"Bueng Kan, Mueang Bueng Kan District",1
"Bueng Kum",7
"Bueng Sam Phan, Bueng Sam Phan District",1
"Cha-am District",139
"Cha-uat District",1
"Chaiya District",3
"Chaloem Phra Kiat District",2
"Chaman, Makham District",1
"Chan Thop Phet, Ban Kruat District",1
"Chang Klang, Chang Klang District",1
"Chatuchak",75
"Chiang Dao District",34
"Chiang Kham District",3
"Chiang Khan District",66
"Chiang Khong District",17
"Chiang Klang District",1
"Chiang Saen District",23
"Chom Thong District",12
"Chorakhe Sam Phan, U Thong District",1
"Chum Phae District",3
"Damnoen Saduak District",5
"Dan Makham Tia District",2
"Dan Sai District",1
"Den Chai, Den Chai District",1
"Doem Bang Nang Buat District",4
"Doi Lo District",1
"Doi Saket District",19
"Dok Khamtai, Dok Khamtai District",1
"Dok Mai, Suwannaphum District",1
"Don Koka, Bang Nam Priao District",1
"Don Masang, Mueang Suphan Buri District",1
"Don Mueang",109
"Don Mun, Sung Men District",1
"Don Sak District",6
"Don Tako, Tha Sala District",1
"Don Tan, Don Tan District",1
"Don Tum District",1
"Dong Bang, Prachantakham District",1
"Dong Khui, Chon Daen District",1
"Dong Mada, Mae Lao District",1
"Fang District",26
"Hai Yong, Phang Khon District",1
"Hang Dong District",67
"Hankha District",1
"Hat Yai",250
"Hin Tok, Ron Phibun District",2
"Ho Krai, Bang Mun Nak District",1
"Hot District",1
"Hua Diat, Mueang Tak District",5
"Hua Hin District",646
"Hua Pho, Song Phi Nong District",1
"Huai Khamin, Nong Khae District",1
"Huai Khao Kam, Chun District",1
"Huai Khwang",182
"Huai Racha, Huai Rat District",1
"Huai Som, Phu Kradueng District",1
"Huai Yot, Huai Yot District",1
"Kabin Buri District",10
"Kaeng Khoi District",4
"Kaeng Krachan District",22
"Kaeng Sopha, Wang Thong District",4
"Kalasin, Mueang Kalasin District",7
"Kamphaeng Saen, Kamphaeng Saen District",1
"Kamphuan, Suk Samran District",1
"Kantang District",24
"Kantharawichai District",2
"Kapoe District",1
"Kathu District",838
"Kathun, Phipun District",2
"Khan Na Yao",5
"Khanom District",61
"Khao Chaison District",1
"Khao Kho District",127
"Khao Kop, Huai Yot District",1
"Khao Saming District",1
"Khao Saming, Khao Saming District",2
"Khao Yai",328
"Khao Yoi District",2
"Khemmarat, Khemmarat District",1
"Khiri Rat Nikhom District",2
"Khlong Khoi, Photharam District",1
"Khlong Khuean District",1
"Khlong La, Khlong Hoi Khong District",1
"Khlong Luang District",19
"Khlong Madua, Krathum Baen District",1
"Khlong Pang, Ratsada District",1
"Khlong Sam Wa",1
"Khlong Takhot, Photharam District",1
"Khlong Takrao, Tha Takiap District",1
"Khlong Thom District",7
"Khlong Yai District",5
"Khlong Yai, Pong Nam Ron District",1
"Khlung, Khlung District",1
"Kho Sai, Khai Bang Rachan District",1
"Kho Tai, Sawang Daen Din District",1
"Khok Chang, Amphoe Bang Sai",1
"Khok Kham, Mueang Samut Sakhon District",2
"Khok Pi Khong, Mueang Sa Kaeo District",1
"Khok Sawang, Mueang Saraburi District",1
"Khon Khlan, Thung Wa District",1
"Khon San District",1
"Khong Chiam District",3
"Khu Mueang District",2
"Khun Yuam District",2
"Khura Buri District",2
"Klaeng District",44
"Ko Khanun, Phanom Sarakham District",1
"Ko Wai, Pak Phli District",2
"Ko Yao District",22
"Koh Chang",164
"Koh Kut",33
"Koh Lanta District",219
"Koh Mak",8
"Koh Pha-ngan",344
"Koh Phi Phi, Mueang Krabi District",98
"Koh Samet",79
"Koh Samui",1007
"Koh Si Chang",28
"Koh Tao",130
"Kong Ra, Kong Ra District",1
"Kra Chan, U Thong District",1
"Kranuan District",1
"Krasang District",1
"Krok Phra District",1
"Kui Buri District",6
"La-ngu District",13
"Laem Ngop District",3
"Laem Sing District",18
"Lahan, Chatturat District",1
"Lak Chang, Chang Klang District",1
"Lak Song, Ban Phaeo District",1
"Lam Luk Ka District",19
"Lamnarai, Chai Badan District",1
"Lamo, Na Yong District",2
"Lampang Luang, Ko Kha District",1
"Lan Sak District",2
"Lan Saka District",11
"Lat Krabang",119
"Lat Phrao",50
"Li District",3
"Lom Sak District",3
"Lum Khao, Khok Samrong District",1
"Lum Lam Chi, Ban Khwao District",1
"Mae Ai District",3
"Mae Chaem District",5
"Mae Chan District",18
"Mae Fa Luang District",10
"Mae Khlong, Umphang District",2
"Mae Ngao, Khun Yuam District",1
"Mae On District",15
"Mae Rim District",82
"Mae Sai District",31
"Mae Sariang District",8
"Mae Sot District",34
"Mae Suai District",2
"Mae Taeng District",31
"Mae Tha District",1
"Mae Wang District",6
"Makham District",1
"Mamu, Kra Buri District",1
"Manorom District",2
"Min Buri",21
"Muak Lek District",10
"Muang Kao, Phanom Sarakham District",1
"Muang Noi, Pa Sang District",1
"Muang Phatthalung District",18
"Mueang Amnat Charoen District",3
"Mueang Buri Ram District",63
"Mueang Chachoengsao District",18
"Mueang Chai Nat District",7
"Mueang Chaiyaphum District",9
"Mueang Chanthaburi District",68
"Mueang Chiang Mai District",1421
"Mueang Chiang Rai District",244
"Mueang Chonburi District",169
"Mueang Chumphon District",46
"Mueang Kamphaeng Phet District",20
"Mueang Kanchanaburi District",145
"Mueang Khon Kaen District",117
"Mueang Krabi District",567
"Mueang Lampang District",66
"Mueang Lamphun District",26
"Mueang Loei District",22
"Mueang Lop Buri District",24
"Mueang Mae Hong Son District",23
"Mueang Maha Sarakham District",20
"Mueang Mukdahan District",16
"Mueang Nakhon Nayok District",49
"Mueang Nakhon Pathom District",28
"Mueang Nakhon Phanom District",31
"Mueang Nakhon Ratchasima District",113
"Mueang Nakhon Sawan District",19
"Mueang Nakhon Si Thammarat District",87
"Mueang Nan District",76
"Mueang Narathiwat District",3
"Mueang Nong Khai District",28
"Mueang Nonthaburi District",47
"Mueang Pan, Mueang Pan District",1
"Mueang Pathum Thani District",13
"Mueang Phang-nga District",24
"Mueang Phayao District",24
"Mueang Phetchabun District",16
"Mueang Phetchaburi District",42
"Mueang Phitsanulok District",85
"Mueang Phrae District",16
"Mueang Phuket District",995
"Mueang Prachin Buri District",8
"Mueang Prachuap Khiri Khan District",37
"Mueang Ranong District",115
"Mueang Ratchaburi District",30
"Mueang Rayong District",120
"Mueang Roi Et District",17
"Mueang Sa Kaeo District",6
"Mueang Sakon Nakhon District",18
"Mueang Samut Prakan District",15
"Mueang Samut Songkhram District",33
"Mueang Saraburi District",2
"Mueang Satun District",95
"Mueang Si Sa Ket District",4
"Mueang Sing Buri District",3
"Mueang Songkhla District",46
"Mueang Suea, Phayakkhaphum Phisai District",2
"Mueang Sukhothai District",72
"Mueang Suphan Buri District",3
"Mueang Surat Thani District",146
"Mueang Surin District",20
"Mueang Tak District",13
"Mueang Trang District",71
"Mueang Trat District",31
"Mueang Ubon Ratchathani District",59
"Mueang Udon Thani District",130
"Mueang Uthai Thani District",7
"Mueang Uttaradit District",9
"Mueang Yala District",1
"Na Hin Lat, Pak Phli District",1
"Na Kha, Suk Samran District",1
"Na Khok, Phak Hai District",1
"Na Klang, Sung Noen District",1
"Na Muen District",1
"Na Noi District",4
"Na Pho, Sawi District",1
"Na Phu, Phen District",1
"Na Prang, Pong District",1
"Na Sai, Phibun Rak District",1
"Na Waeng, Khemmarat District",1
"Na Yai Am District",4
"Na Yong Nuea, Na Yong District",3
"Nai Mueang, Phimai District",3
"Nakhon Chai Si District",6
"Nakhon Chum, Ban Pong District",1
"Nakhon Luang, Nakhon Luang District",1
"Nakhon Thai, Nakhon Thai District",1
"Nam Chuet Noi, Kra Buri District",1
"Nam Chuet, Kra Buri District",1
"Nam Ko, Lom Sak District",1
"Nam Som District",1
"Nang Rong District",10
"Nikhom Lamnarai, Chai Badan District",1
"Nikhom Phatthana District",3
"Nikhom, Satuek District",1
"Non Ko, Sirindhorn District",1
"Non Mueang, Non Sang District",1
"Non Sung, Non Sung District",1
"Nong Bon, Bo Rai District",1
"Nong Bua, Phatthana Nikhom District",1
"Nong Chik, Borabue District",1
"Nong Haen, Phanom Sarakham District",1
"Nong Han, Nong Han District",1
