City,Count
"An Bien District",1
"An Duong District",1
"An Nhơn Town",4
"An Phu District",1
"Ba Be District",3
"Ba Dinh District",177
"Ba Ria City",5
"Ba Thuoc District",9
"Ba Vi District",13
"Bac Binh District",1
"Bac Giang City",7
"Bac Ha District",4
"Bac Lieu City",9
"Bac Ninh City",23
"Bac Quang District",1
"Bac Tu Liem District",15
"Bac Yen District",1
"Bao Lac District",2
"Bao Lam District",1
"Bao Loc City",67
"Ben Cat Town",4
"Ben Luc District",2
"Ben Tre City",12
"Bien Hoa City",24
"Bim Son Town",3
"Binh Chanh District",70
"Binh Minh Town",2
"Binh Son District",2
"Binh Tan District",34
"Binh Thanh District",137
"Binh Thuy District",6
"Binh Xuyen District",1
"Bo Trach District",49
"Buon Ma Thuot City",62
"Ca Mau city",11
"Cai Be District",2
"Cai Lay District",1
"Cai Rang District",27
"Cam Le District",15
"Cam Pha City",6
"Cam Ranh City",20
"Cam Xuyen District",2
"Can Gio District",8
"Cang Long District",1
"Cao Bang City",10
"Cao Lanh City",14
"Cao Phong District",1
"Cat Hai District",67
"Cau Giay District",237
"Chau Doc City",18
"Chau Duc District",2
"Chau Phu District",1
"Chau Thanh District",9
"Chu Puh District",1
"Chuong My District",3
"Co To District",9
"Con Cuong District",1
"Con Dao (Hon Son) District",90
"Cu Chi District",5
"Cua Lo Town",17
"Da Huoai District",2
"Da Lat",1376
"Da Teh District",1
"Dai Tu District",1
"Dat Do District",1
"Di An Town",8
"Dien Ban District, Hoi An",9
"Dien Bien Phu City",9
"Dien Chau District",4
"District 1",923
"District 10",94
"District 11",16
"District 12",18
"District 2",98
"District 3",145
"District 4",89
"District 5",47
"District 6",19
"District 7",182
"District 8",7
"District 9",28
"Do Son District",8
"Dong Anh District",8
"Dong Da District",91
"Dong Giang District",2
"Dong Ha City",6
"Dong Hoa District",1
"Dong Hoi City",84
"Dong Hung District",1
"Dong Van District",19
"Dong Xoai Town",1
"Duc Hoa District",1
"Duc Pho",1
"Duc Trong District",6
"Duong Kinh District",2
"Duy Tien District",2
"Duy Xuyen District",8
"Gia Lam District",1
"Gia Nghia Town",1
"Gia Vien District",20
"Giong Trom District",3
"Go Vap District",57
"Ha Dong District",24
"Ha Giang City",61
"Ha Long City",348
"Ha Tien Town",4
"Ha Tinh City",5
"Hai An District",19
"Hai Ba Trung District",75
"Hai Chau District",265
"Hai Duong City",10
"Hai Lang District",1
"Ham Thuan Nam District",7
"Hoa Binh City",6
"Hoa Lu District",92
"Hoa Thanh District",1
"Hoa Vang District",4
"Hoai Duc District",4
"Hoan Kiem District",611
"Hoang Hoa District",22
"Hoang Mai District",17
"Hoang Su Phi District",4
"Hoc Mon District",4
"Hoi An",684
"Hong Bang District",20
"Hong Ngu Town",1
"Hoàng Mai Town",1
"Hue City",299
"Hung Nguyen District",1
"Huong Thuy Town",8
"Huong Tra Town",2
"Kien Hai District",5
"Kien Luong District",1
"Kien Xuong District",1
"Kim Bang District",2
"Kim Boi District",3
"Kon Plong District",9
"Kon Tum city",22
"Ky Anh Town",2
"Ky Son District",3
"La Gi Town",24
"Lac Duong District, Da Lat",8
"Lac Thuy District",1
"Lai Chau City",3
"Lak District",2
"Lang Son City",6
"Lao Cai City",20
"Le Chan District",7
"Lien Chieu District",26
"Loc Ha district",1
"Long Bien District",29
"Long Dien District",1
"Long Ho District",2
"Long Khanh Town",3
"Long Thanh District",1
"Long Xuyen City",4
"Luc Yen District",3
"Luong Son District",6
"Ly Nhan",1
"Ly Son District",7
"Mai Chau District",38
"Mang Yang District",1
"Me Linh District",5
"Meo Vac District",10
"Mo Cay Bac District",3
"Mo Cay Nam District",1
"Moc Chau District",30
"Moc Hoa District",1
"Mong Cai City",7
"My Duc District",1
"My Tho City",37
"Nam Can District",1
"Nam Dinh City",5
"Nam Tu Liem District",75
"Nghi Xuan district",2
"Nghia Dan District",1
"Nghia Tan Ward, Cau Giay District",6
"Ngo Quyen District",42
"Ngu Hanh Son District",362
"Nha Be District",5
"Nha Trang",898
"Nho Quan District",3
"Nhon Trach District",3
"Ninh Binh City",70
"Ninh Hai District",9
"Ninh Hoa Town, Nha Trang",11
"Ninh Kieu District",154
"Nong Cong District",1
"Nui Thanh District",6
"Phan Rang - Thap Cham City",41
"Phan Thiet City",280
"Pho Yen Town",2
"Phong Dien District",11
"Phu Cat District, Quy Nhon City",3
"Phu Loc District, Hue City",5
"Phu Ly City",4
"Phu Nhuan District",90
"Phu Ninh District",1
"Phu Quoc",641
"Phu Quy District",3
"Phu Vang District",9
"Phuc Yen Town",8
"Pleiku City",49
"Quan Ba District",7
"Quang Dien District",1
"Quang Ngai City",16
"Quang Ninh District",1
"Quoc Oai District",2
"Quy Nhon City",248
"Quynh Luu District",1
"Rach Gia City",22
"Sa Dec City",5
"Sa Pa District",288
"Sam Son Town",52
"Soc Son District",48
"Soc Trang City",4
"Son Hoa District",1
"Son La city",3
"Son Tay Town",6
"Son Tra District",549
"Song Cau Town",6
"Tam Dao District",25
"Tam Duong District",2
"Tam Ky City",5
"Tam Nong District",1
"Tan Binh District",197
"Tan Lac District",1
"Tan Phu District",24
"Tan Thanh District",4
"Tay Ho District",130
"Tay Ninh City",7
"Tay Son District",1
"Thach Ha District",2
"Thach That District",2
"Thai Binh City",11
"Thai Hoa Town",1
"Thai Nguyen City",7
"Thang Binh District",3
"Thanh Hoa City",27
"Thanh Khe District",98
"Thanh Thuy District",2
"Thanh Tri District",3
"Thanh Xuan District",37
"Thap Muoi District",1
"Thong Nhat District",1
"Thot Not District",1
"Thu Dau Mot City",29
"Thu Duc District",13
"Thuan An Town",11
"Thuan Nam District",3
"Thuong Tin District",1
"Thuy Nguyen District",1
"Tien Du District",1
"Tinh Bien District",1
"Tinh Gia District",5
"Tra Vinh City",1
"Tram Tau District",1
"Trang Bom District",1
"Tu Nghia District",2
"Tu Son Town",4
"Tuy An District",1
"Tuy Hoa City",97
"Tuy Phong District",5
"Tuy Phuoc District",1
"Tuyen Quang City",4
"U Minh District",1
"Uong Bi City",1
"Van Chan District",3
"Van Don District",8
"Van Giang District",4
"Van Ho District",1
"Van Ninh District",5
"Vi Thanh City",1
"Viet Tri City",5
"Viet Yen District",1
"Vinh City",30
"Vinh Long City",5
"Vinh Tuong District",1
"Vinh Yen City",9
"Vung Tau City",750
"Xuan Loc District",1
"Xuyen Moc District, Vung Tau City",39
"Yen Chau District",1
"Yen Minh District",6
"Yen Mo District",1
"Yen Phong District",1
